start station name,start_lat,start_lng,end_lat,end_lng,NTACode
FDR Drive & E 35 St,40.744219,-73.97121214,40.744219,-73.97121214,MN19
E 53 St & Lexington Ave,40.75828065,-73.97069431,40.7691572,-73.96703464,MN19
E 58 St & 3 Ave,40.76095756,-73.96724467,40.755293,-73.967641,MN19
E 58 St & 3 Ave,40.76095756,-73.96724467,40.7921,-73.9739,MN19
E 54 St & 1 Ave,40.756265,-73.964179,40.73291553,-74.00711384,MN19
1 Ave & E 44 St,40.75001986,-73.96905301,40.797470000000004,-73.93504,MN19
E 47 St & 2 Ave,40.75323098,-73.97032517,40.75323098,-73.97032517,MN19
E 58 St & 3 Ave,40.76095756,-73.96724467,40.74286877312112,-73.98918628692627,MN19
1 Ave & E 39 St,40.74714,-73.97113,40.76727216,-73.99392888,MN19
1 Ave & E 39 St,40.74714,-73.97113,40.72066442,-73.98517977,MN19
E 53 St & 3 Ave,40.75763227739443,-73.9693057537079,40.77140426,-73.9535166,MN19
E 58 St & 3 Ave,40.76095756,-73.96724467,40.74394314,-73.97966069,MN19
FDR Drive & E 35 St,40.744219,-73.97121214,40.71117444,-73.99682619,MN19
E 55 St & 2 Ave,40.75797322,-73.96603308,40.779668090073116,-73.98093044757842,MN19
FDR Drive & E 35 St,40.744219,-73.97121214,40.75969995906254,-73.9780819416046,MN19
1 Ave & E 44 St,40.75001986,-73.96905301,40.765834600000005,-73.9265474,MN19
E 58 St & 3 Ave,40.76095756,-73.96724467,40.76500525,-73.95818491,MN19
E 53 St & Lexington Ave,40.75828065,-73.97069431,40.75492,-73.98455,MN19
1 Ave & E 39 St,40.74714,-73.97113,40.75797322,-73.96603308,MN19
E 48 St & 3 Ave,40.7546011026,-73.971878855,40.75892386377695,-73.96226227283478,MN19
E 47 St & Park Ave,40.75510267,-73.97498696,40.75969995906254,-73.9780819416046,MN19
1 Ave & E 44 St,40.75001986,-73.96905301,40.75492,-73.98455,MN19
E 53 St & 3 Ave,40.75763227739443,-73.9693057537079,40.761227399999996,-73.96094022,MN19
E 51 St & Lexington Ave,40.75714758,-73.97207836,40.74765947,-73.98490707,MN19
E 51 St & 1 Ave,40.75455731,-73.96592976,40.76500525,-73.95818491,MN19
E 58 St &  1 Ave (NW Corner),40.759125,-73.96265799999999,40.7689738,-73.95482273,MN19
E 58 St &  1 Ave (NW Corner),40.759125,-73.96265799999999,40.76712840349542,-73.96224617958069,MN19
E 58 St &  1 Ave (NW Corner),40.759125,-73.96265799999999,40.777507027547976,-73.98888587951659,MN19
FDR Drive & E 35 St,40.744219,-73.97121214,40.75001986,-73.96905301,MN19
E 47 St & 2 Ave,40.75323098,-73.97032517,40.77492513,-73.98266566,MN19
E 53 St & 3 Ave,40.75763227739443,-73.9693057537079,40.74714,-73.97113,MN19
E 58 St & 3 Ave,40.76095756,-73.96724467,40.75756989999999,-73.99098507,MN19
E 48 St & 3 Ave,40.7546011026,-73.971878855,40.75714758,-73.97207836,MN19
E 58 St & 3 Ave,40.76095756,-73.96724467,40.74901271,-73.98848395,MN19
E 58 St & 3 Ave,40.76095756,-73.96724467,40.7727966,-73.95577801,MN19
FDR Drive & E 35 St,40.744219,-73.97121214,40.75255434,-73.97282625,MN19
E 55 St & 2 Ave,40.75797322,-73.96603308,40.799484,-73.955613,MN19
1 Ave & E 44 St,40.75001986,-73.96905301,40.757936462436746,-73.97960275411606,MN19
E 53 St & 3 Ave,40.75763227739443,-73.9693057537079,40.77492513,-73.98266566,MN19
E 47 St & Park Ave,40.75510267,-73.97498696,40.74345335,-74.00004031,MN19
E 56 St & 3 Ave,40.75934501,-73.96759673,40.78245417527987,-73.94891962409021,MN19
E 43 St & 2 Ave,40.75022392,-73.97121414,40.76500525,-73.95818491,MN19
E 53 St & 3 Ave,40.75763227739443,-73.9693057537079,40.75797322,-73.96603308,MN19
